"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 04- 26","63,800","63,700","64,300","63,300","9.35M","0.31%"
"2023- 04- 25","63,600","65,200","65,400","63,400","4.13K","-2.45%"
"2023- 04- 24","65,200","65,300","65,700","64,800","12.89M","-0.76%"
"2023- 04- 23","65,700","65,700","65,700","65,700","","0.00%"
"2023- 04- 21","65,700","65,800","65,900","65,400","10.29M","0.61%"
"2023- 04- 20","65,300","65,100","65,300","64,600","0.69K","-0.31%"
"2023- 04- 19","65,500","65,500","65,800","65,300","10.24M","-0.15%"
"2023- 04- 18","65,600","65,900","66,000","64,800","14.76M","0.46%"
"2023- 04- 17","65,300","64,900","65,600","64,700","4.08K","0.31%"
"2023- 04- 16","65,100","65,100","65,100","65,100","","0.00%"
"2023- 04- 14","65,100","66,600","66,600","65,000","15.49M","-1.51%"
"2023- 04- 13","66,100","65,600","66,100","65,400","1.44K","0.15%"
"2023- 04- 12","66,000","65,700","66,200","65,300","0.83K","0.15%"
"2023- 04- 11","65,900","66,200","66,200","65,400","16.18M","0.30%"
"2023- 04- 10","65,700","64,800","66,300","64,700","18.73M","1.08%"
"2023- 04- 09","65,000","65,000","65,000","65,000","","0.00%"
"2023- 04- 07","65,000","63,800","65,200","63,800","27.42M","4.33%"
"2023- 04- 06","62,300","63,500","63,600","62,300","14.97M","-2.50%"
"2023- 04- 05","63,900","63,700","64,000","63,400","0.73K","0.47%"
"2023- 04- 04","63,600","63,300","63,800","62,900","1.07K","0.79%"
"2023- 04- 03","63,100","64,000","64,000","63,000","11.94M","-1.41%"
"2023- 04- 02","64,000","64,000","64,000","64,000","","0.00%"
"2023- 03- 31","64,000","64,000","64,000","63,700","13.36M","1.27%"
"2023- 03- 30","63,200","63,700","63,700","63,100","1.47K","0.80%"
"2023- 03- 29","62,700","62,500","62,700","62,200","0.28K","-0.32%"
"2023- 03- 28","62,900","62,400","62,900","62,100","2.73K","1.29%"
"2023- 03- 27","62,100","62,700","62,800","62,000","3.85K","-1.43%"
"2023- 03- 26","63,000","63,000","63,000","63,000","","0.00%"
